experiment,game,method,seed,budget,best_welfare,payoff_dominant_found
restart_selection,stag_hunt,standard_pg,0,1,3.9778675185422916,0
restart_selection,stag_hunt,standard_pg,0,2,3.9778675185422916,0
restart_selection,stag_hunt,standard_pg,0,3,7.726913748861619,1
restart_selection,stag_hunt,standard_pg,0,4,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,5,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,6,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,7,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,8,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,9,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,10,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,11,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,0,12,7.743458415669476,1
restart_selection,stag_hunt,standard_pg,1,1,3.9746179389941867,0
restart_selection,stag_hunt,standard_pg,1,2,7.522966932321134,1
restart_selection,stag_hunt,standard_pg,1,3,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,4,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,5,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,6,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,7,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,8,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,9,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,10,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,11,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,1,12,7.748692987305197,1
restart_selection,stag_hunt,standard_pg,2,1,3.9721357117842633,0
restart_selection,stag_hunt,standard_pg,2,2,7.650571136674332,1
restart_selection,stag_hunt,standard_pg,2,3,7.650571136674332,1
restart_selection,stag_hunt,standard_pg,2,4,7.650571136674332,1
restart_selection,stag_hunt,standard_pg,2,5,7.650571136674332,1
restart_selection,stag_hunt,standard_pg,2,6,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,7,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,8,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,9,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,10,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,11,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,2,12,7.749263377396945,1
restart_selection,stag_hunt,standard_pg,3,1,7.766119230484497,1
restart_selection,stag_hunt,standard_pg,3,2,7.766119230484497,1
restart_selection,stag_hunt,standard_pg,3,3,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,4,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,5,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,6,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,7,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,8,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,9,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,10,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,11,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,3,12,7.774252016390721,1
restart_selection,stag_hunt,standard_pg,4,1,3.9735815964046663,0
restart_selection,stag_hunt,standard_pg,4,2,3.97552511861227,0
restart_selection,stag_hunt,standard_pg,4,3,3.97552511861227,0
restart_selection,stag_hunt,standard_pg,4,4,7.6951501757487435,1
restart_selection,stag_hunt,standard_pg,4,5,7.6951501757487435,1
restart_selection,stag_hunt,standard_pg,4,6,7.6951501757487435,1
restart_selection,stag_hunt,standard_pg,4,7,7.6951501757487435,1
restart_selection,stag_hunt,standard_pg,4,8,7.71544402562621,1
restart_selection,stag_hunt,standard_pg,4,9,7.71544402562621,1
restart_selection,stag_hunt,standard_pg,4,10,7.71544402562621,1
restart_selection,stag_hunt,standard_pg,4,11,7.71544402562621,1
restart_selection,stag_hunt,standard_pg,4,12,7.776522455604385,1
restart_selection,stag_hunt,standard_pg,5,1,3.9650845062296263,0
restart_selection,stag_hunt,standard_pg,5,2,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,3,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,4,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,5,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,6,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,7,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,8,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,9,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,10,7.6148979258706655,1
restart_selection,stag_hunt,standard_pg,5,11,7.756030179116415,1
restart_selection,stag_hunt,standard_pg,5,12,7.756030179116415,1
restart_selection,stag_hunt,standard_pg,6,1,3.9377200203638685,0
restart_selection,stag_hunt,standard_pg,6,2,3.969866232308347,0
restart_selection,stag_hunt,standard_pg,6,3,7.644649317293947,1
restart_selection,stag_hunt,standard_pg,6,4,7.644649317293947,1
restart_selection,stag_hunt,standard_pg,6,5,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,6,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,7,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,8,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,9,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,10,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,11,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,6,12,7.7754100215358,1
restart_selection,stag_hunt,standard_pg,7,1,3.976292778518104,0
restart_selection,stag_hunt,standard_pg,7,2,3.976292778518104,0
restart_selection,stag_hunt,standard_pg,7,3,3.976292778518104,0
restart_selection,stag_hunt,standard_pg,7,4,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,5,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,6,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,7,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,8,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,9,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,10,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,11,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,7,12,7.728920660541787,1
restart_selection,stag_hunt,standard_pg,8,1,7.737120266410865,1
restart_selection,stag_hunt,standard_pg,8,2,7.737120266410865,1
restart_selection,stag_hunt,standard_pg,8,3,7.737120266410865,1
restart_selection,stag_hunt,standard_pg,8,4,7.737120266410865,1
restart_selection,stag_hunt,standard_pg,8,5,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,6,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,7,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,8,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,9,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,10,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,11,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,8,12,7.788113444005379,1
restart_selection,stag_hunt,standard_pg,9,1,3.9728124782731973,0
restart_selection,stag_hunt,standard_pg,9,2,7.671226733663003,1
restart_selection,stag_hunt,standard_pg,9,3,7.671226733663003,1
restart_selection,stag_hunt,standard_pg,9,4,7.671226733663003,1
restart_selection,stag_hunt,standard_pg,9,5,7.671226733663003,1
restart_selection,stag_hunt,standard_pg,9,6,7.671226733663003,1
restart_selection,stag_hunt,standard_pg,9,7,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,9,8,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,9,9,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,9,10,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,9,11,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,9,12,7.753059240367987,1
restart_selection,stag_hunt,standard_pg,10,1,3.9084047418379333,0
restart_selection,stag_hunt,standard_pg,10,2,3.963836657004089,0
restart_selection,stag_hunt,standard_pg,10,3,3.9740877372387207,0
restart_selection,stag_hunt,standard_pg,10,4,7.773631654570627,1
