persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.2,0.2",0,0,standard,standard,standard,34.8162008053304,51.3250855929486,0.14953487812212204,,5.227969964903924,5.360245927559611,0.38637473045156767,0.8231357130921565
ipd:cooperative:0,ipd,"0.2,0.2",0,1,standard,standard,standard,31.74653069756468,40.5606569373362,0.13042371500610728,,4.857605541525961,4.20209940910129,0.509359231053786,0.7799373446659252
ipd:cooperative:0,ipd,"0.2,0.2",0,2,standard,standard,standard,31.047231244241825,35.21610409668932,0.11618404012127041,,4.196819643690824,3.1507276730391953,0.5992313215514445,0.732282440717105
ipd:cooperative:0,ipd,"0.2,0.2",0,3,standard,standard,standard,31.181706936836566,32.63277476628098,0.10511205190671433,,3.6441049634811082,2.489355438996304,0.6247313929044318,0.7040812593886421
ipd:cooperative:0,ipd,"0.2,0.2",0,4,standard,standard,standard,30.909720338217582,30.647596773920828,0.09622504486493763,,3.22078834319622,2.105778430149365,0.5954682693436089,0.7086395705925149
ipd:cooperative:0,ipd,"0.2,0.2",0,5,standard,standard,standard,30.520893448892448,29.768553636636483,0.08891397050194613,,2.88539394441678,1.8452516552593794,0.5757789277681512,0.6674456292339862
ipd:cooperative:0,ipd,"0.2,0.2",0,6,standard,standard,standard,29.723080774011535,29.220034574497067,0.08278001303808509,,2.6175451683720055,1.66598181162888,0.5694477472721464,0.7244387502573397
ipd:cooperative:0,ipd,"0.2,0.2",0,7,standard,standard,standard,29.279413858672612,28.650671202677486,0.07755040492517497,,2.3946685553579288,1.5247116330465085,0.5923856134998559,0.7107937049847682
ipd:cooperative:0,ipd,"0.2,0.2",0,8,standard,standard,standard,29.05621131090137,28.150612484618556,0.07303188161984392,,2.2067705028011284,1.4132973254889507,0.6039782457996269,0.6867766742448741
ipd:cooperative:0,ipd,"0.2,0.2",0,9,standard,standard,standard,28.781714066385394,27.941429906841243,0.0690834435809882,,2.0484219649798994,1.3227592519774838,0.6127236624020215,0.6800303023241207
ipd:cooperative:0,ipd,"0.2,0.2",0,0,ew,ew,standard,34.954259106138934,51.65408581407509,0.14953487812212204,,5.227969964903924,5.360245927559611,0.7369553387375245,0.576087362466958
ipd:cooperative:0,ipd,"0.2,0.2",0,1,ew,ew,standard,32.615879550451126,39.205441284035665,0.13042371500610728,,5.000214324103924,4.247677312401738,0.6966013243358764,0.5911556417378805
ipd:cooperative:0,ipd,"0.2,0.2",0,2,ew,ew,standard,32.79189144331501,33.56799460133301,0.11618404012127041,,4.2847499194531355,3.13385599507096,0.6699509060383804,0.6182061128271491
ipd:cooperative:0,ipd,"0.2,0.2",0,3,ew,ew,standard,32.252002941983626,31.110372658860754,0.10511205190671433,,3.6705558359552573,2.4899157220000694,0.6190384138767016,0.5866335782906302
ipd:cooperative:0,ipd,"0.2,0.2",0,4,ew,ew,standard,31.93186275527027,29.726605978285093,0.09622504486493763,,3.193009949963094,2.0971485529448444,0.5912656128400948,0.6405446743458236
ipd:cooperative:0,ipd,"0.2,0.2",0,5,ew,ew,standard,31.445584752134067,28.941725167095026,0.08891397050194613,,2.8263401311838936,1.84571900809821,0.5864426182328857,0.6038620467241486
ipd:cooperative:0,ipd,"0.2,0.2",0,6,ew,ew,standard,30.75183394716375,28.365660211324677,0.08278001303808509,,2.540456835725952,1.6722905200754918,0.5952001478032539,0.606906921658509
ipd:cooperative:0,ipd,"0.2,0.2",0,7,ew,ew,standard,29.679153257252942,28.139787867309586,0.07755040492517497,,2.3039735956752936,1.5441759735104872,0.5962125554481396,0.6043098547798855
ipd:cooperative:0,ipd,"0.2,0.2",0,8,ew,ew,standard,28.811547913165192,27.957688808244498,0.07303188161984392,,2.1110300867273493,1.4411097999486946,0.5708737351652594,0.6366273876465348
ipd:cooperative:0,ipd,"0.2,0.2",0,9,ew,ew,standard,28.405469897473605,27.89528145072722,0.0690834435809882,,1.9505018054223062,1.3546767338271217,0.5943291228940838,0.622007463481049
