env_name,noise_pair,seed,step,method,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd,"0.2,0.2",0,0,standard,44.24721615050894,44.66713102052146,0.14953487812212204,,6.4410160493357544,6.234399278977233,0.4039456352563718,0.41988896125750597
ipd,"0.2,0.2",0,1,standard,35.37227954726571,34.63670037163085,0.13042371500610728,,5.8490246059090705,5.580572518866238,0.5687364296752383,0.5863609022597238
ipd,"0.2,0.2",0,2,standard,32.022248093494,31.385478918444697,0.11618404012127041,,4.632741646727147,4.4640426925253385,0.5599297698196025,0.5343405471047284
ipd,"0.2,0.2",0,3,standard,30.730398304994154,30.306627597405452,0.10511205190671433,,3.7886054378234086,3.691925698579161,0.5861208056151705,0.5518564778932391
ipd,"0.2,0.2",0,4,standard,29.376131502888953,29.845106259378603,0.09622504486493763,,3.232287781289221,3.1675019293217437,0.6225391705241246,0.5645904909723852
ipd,"0.2,0.2",0,5,standard,28.94202184047716,28.672377138106537,0.08891397050194613,,2.836688079611475,2.781165549831281,0.6399829994865547,0.5901136104214064
ipd,"0.2,0.2",0,0,ew,43.566236639331585,45.45390282981662,0.14953487812212204,,6.4410160493357544,6.234399278977233,0.3743426605973797,0.5668134971370526
ipd,"0.2,0.2",0,1,ew,34.71932410003082,34.06291314083755,0.13042371500610728,,5.98543836432451,5.63969158556832,0.4560330253308884,0.5435989021646477
ipd,"0.2,0.2",0,2,ew,31.55322721559861,31.04111468534556,0.11618404012127041,,4.734702817696614,4.4550660436859335,0.5039088561592998,0.5273884878097391
ipd,"0.2,0.2",0,3,ew,30.0966322689621,29.94967675705565,0.10511205190671433,,3.8855356216699133,3.6787953361061163,0.5864648719511955,0.610141416831245
ipd,"0.2,0.2",0,4,ew,29.404035627233828,29.18811182437547,0.09622504486493763,,3.3288497466957994,3.1344997335795513,0.5642444164481353,0.5924855630325085
